ORG_NAME,target
MetricsDAO Academy,0xc26e44682bc139858ce90c62359fa4d87d1f9711
MetricsDAO Academy,0xb62b18ee15a250f7561216c0052f1130b9235e9b
MetricsDAO Academy,0xfb92ecabbe9f2518c3dc84215e3df18519ae3742
MetricsDAO Academy,0xa8a39e84daf8cd09ee9aafe8192da0d29b8eacdd
Pine Badges,0x91707502a8dfdc523f7a6f2c218cc9a52777d5ad
cosanostra,experimintslab
Alpha Badger,experimintslab
OTNs,experimintslab
OTNs,experimintslab
UTC,experimintslab
UTC,experimintslab
MetricsDAO Academy,adriennemoench
MetricsDAO Academy,adriennemoench
MetricsDAO Academy,joaof17
MetricsDAO Academy,hh2049
MetricsDAO Academy,0x808a6ba2b226605081b7ad87a5c354ccbd23df33
MetricsDAO Academy,0x84943526f2ba5dde15f699bc515729d9bb6febf1
OFAC Sanctions List,0x178169b423a011fff22b9e3f3abea13414ddd0f1
MetricsDAO Academy,0x20bdae5d5444f5e4a94b4bd8b1bf7d70c34066ec
MetricsDAO Academy,0x82b0c991331a007dd24117d778ebb6df26dba4ab
MetricsDAO Academy,0x95b7d2c1921f3a304696a604513f2721de578b8c
Taptive,0xf85c19ec41e530ed2a7608d46ad381f68b0602f5
MetricsDAO Academy,0xdcc6c9f3ebc07295904e4a92121368421d736dc6
Alpha Badger,0xad900d0a5c5c213c6efeadfff67019b81c2344e2
MetricsDAO,0x18a2c2bf1ddc48cc4605b27515ffe8eddf604827
cosanostra,0x8841ead20726a3d9e299c4ff73e29e4668e8f364
Pine Badges,0x04ae8c108743167c7457073ba8c1571fd5d56325
Pine DAO,0x2ef81c2c563113d0bb488d6528adc42d40d41fbf
MetricsDAO Academy,0xf7941d39063119680ad2b056367885dd28874dfb
MetricsDAO Academy,0x0e8dc92d70925cbed566de17e3368c71515d4440
MetricsDAO Academy,0xa2ca3d9b42fc01498a93f4cf0f0a5271044b8ff6
Pine Badges,0x5410d5601e6c9d2b015a228f592318790d76fa3e
MetricsDAO Academy,0xcd90b84de8fd721746146c25fddf0cc47b3eafe7
MetricsDAO Academy,0x04411edc3b42844fd26baee5a3b8f021b8fa0d42
MetricsDAO Academy,0xf47618409ab3060f77f51f4b36a2c3077d9d314d
MetricsDAO Academy,0xeedde102211c8785ed6fdbd0f93b5adcbf02e258
Lenstopia,0x4e59eeccca4a2a4b129f8b122d937f90cce2f1aa
MetricsDAO Academy,0x7ec98e8b8275566fec5ef3baf918cfedd0434cc9
MetricsDAO Academy,0x48286cf7759d5d3cfd1778c5aa39f9fb7340dd3a
MetricsDAO Academy,0x61c315be1fb8e8723d3c20c3c3169a8509b36207
MetricsDAO Academy,0xa36cbdc4a6294b2d97b5a2ddb3d6461f4fa6a127
MetricsDAO Academy,0x97f2730db0468608e6a738000c2000f45a378058
MetricsDAO Academy,0x7f1b82900508f47878fd84765c05c28b73ee7a69
Pine DAO,0xa6eeaab3941d5ff9fdae787a42509b536cb0d7cb
Taptive,0x05562052c09a805904a1ad0ece247574d381301b
Lobby3 Draft Organization,darkstardigital
Alpha Badger,tokenpleb
UTC,0xelle
OCC,itsalwaysday1
MetricsDAO,itsalwaysday1
MetricsDAO,itsalwaysday1
Pine Badges,0x37e229da51d1c1e1bdf05e2c0d3e9493bfd33d6c
MetricsDAO Academy,0x505e2fa4ba90fa0719551ec58769a0332e468c45
MetricsDAO Academy,0x091497b2f7e3fad07f6699d1a00431cc03151574
MetricsDAO Academy,0xb849241c7f472b6289ee5731c1fb52a2ec6b7e71
MetricsDAO Academy,0x4a9ecb28e37de81f14a61c37f6df095c7708e000
OFAC Sanctions List,0x9ad122c22b14202b4490edaf288fdb3c7cb3ff5e
Pine Badges,0x5507963e2afd622bab95844f724e04ceb5789e49
MetricsDAO Academy,0x91d1dee862e36b0ee40cddfa2fbf9c2024531d98
MetricsDAO Academy,0xc9d66270fefc36cd853143e695ecce44d3d3211d
MetricsDAO Academy,0x4bb3303a53581f6977bbe8077fd766ca0d4ed62c
MetricsDAO Academy,0xebc212c8f416b6c2e8a252c83a56a3a955dc6402
TalentDAO - Writers Guild,0x0d8f8d13819f293b8ad27cb4517c2277410e1605
Pine Badges,0x525a78abf7eb4a13f721176cff3ffaaf4c747e4c
MetricsDAO Academy,0xfa2e79c83a4681c22e02780367f093b75b76fcf2
MetricsDAO Academy,0x13b0644939e1590e402b5f11d98ac66474e1b567
MetricsDAO Academy,0xdee38023a8cabaa0cb3e9456119ae87b7e8831b2
MetricsDAO Academy,0xcc39f4f4a764b118e1a39e2def59559e0f886aa3
Alpha Badger,0xbf2d83f65f775f2abbba04aaffb97927e65ec2fd
MetricsDAO Academy,0x29b46ca2b909a14738d6b82ac3c15236d1e32990
MetricsDAO Academy,0x2b1a378d768911c9f2438cd63dcd93023416d4f0
